iso2,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020
RW,1,1,2,3,4,4,4,4,4,4,4,8,8,4,1,4,0,0,4,1,13,4,4,4
WS,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,19,13,12
SM,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ST,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0
SA,262,269,304,284,364,638,499,363,327,354,230,219,329,299,375,628,352,375,364,635,385,484,601,628
SN,7,7,8,8,9,13,14,15,13,16,17,23,20,9,27,26,9,9,25,21,74,19,13,25
RS,16,17,20,0,22,22,26,27,29,48,42,44,23,24,37,39,27,44,44,34,63,126,76,72
SC,13,13,13,15,17,22,27,28,24,27,28,37,40,59,44,50,10,11,8,4,7,101,82,41
SL,5,5,6,7,8,10,13,13,11,13,13,17,60,30,52,6,4,4,9,11,19,12,9,7
SG,505,492,740,513,589,585,527,749,818,915,1023,1540,1510,1843,2137,2071,2118,2352,2070,2931,3168,3439,4023,3899
SX,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,9,8,4
SB,0,0,0,0,0,0,0,0,0,0,0,0,8,0,0,0,4,4,11,0,7,7,10,19
SO,4,4,4,4,4,4,5,5,4,5,5,13,8,0,0,0,0,0,18,24,40,36,26,23
ZA,439,480,536,563,583,705,990,1006,1067,1117,835,909,869,986,930,1032,843,831,937,1052,1162,1417,1096,809
GS,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
KR,180,198,201,240,263,246,263,332,364,400,388,501,487,431,805,1045,610,1047,1152,983,814,772,685,1031
SS,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20,5,7,4,0
LK,31,33,37,43,40,47,54,78,66,82,71,99,132,127,134,168,167,146,270,304,278,309,258,218
KN,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,5,4,4,19
LC,34,37,40,49,45,45,54,74,61,82,82,52,59,48,91,99,127,130,115,128,148,134,130,86
VC,0,0,0,0,0,0,0,1,0,1,1,0,0,0,0,0,34,33,4,4,1,1,0,1
SH,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SD,16,16,17,20,22,29,36,36,32,37,37,32,48,28,19,14,15,17,11,8,11,33,17,9
SR,8,8,9,8,4,4,4,0,5,3,0,0,0,0,0,0,0,0,0,8,6,6,1,1
CH,1344,1454,1564,1577,1603,1662,1641,1682,1884,2034,2899,2635,2862,3490,2718,2983,3689,3085,3981,3716,3772,5505,5530,4855
SY,5,4,5,9,8,11,9,10,10,13,19,27,23,40,34,5,0,0,0,4,1,1,0,0
TW,139,129,129,138,160,146,197,214,261,263,235,350,237,269,232,234,321,289,311,519,478,482,448,801
TJ,0,0,0,0,0,0,1,4,4,4,4,4,0,0,0,4,0,0,4,0,10,6,4,5
TZ,45,45,48,53,59,81,95,98,88,103,102,77,110,95,74,165,129,136,117,85,119,134,17,69
TH,285,298,326,436,452,573,553,773,722,830,668,633,675,659,680,722,766,892,810,1018,949,983,917,434
BS,18,19,22,26,25,24,28,39,33,44,43,62,58,36,150,129,310,318,296,257,146,59,58,11
GM,9,9,10,11,13,17,19,21,17,21,21,34,58,20,45,68,28,31,84,28,76,4,12,5
TG,0,0,0,0,1,4,4,4,4,4,4,4,8,19,14,1,6,7,9,12,2,6,4,4
TK,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
TO,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
TT,23,24,26,32,30,29,36,48,41,53,53,44,46,40,83,69,77,79,94,90,46,120,27,17
TN,71,77,88,122,116,101,91,122,146,103,135,176,209,277,255,243,213,206,128,25,31,102,184,77
TR,526,560,632,632,692,861,982,1043,1294,1297,1192,1527,1393,1638,1402,1352,1416,1484,1810,1268,1437,1828,2150,958
TM,0,0,0,0,0,0,0,0,0,0,0,1,4,5,3,0,0,0,4,4,1,2,0,1
TC,4,4,4,6,5,5,6,9,6,9,9,23,9,21,9,1,0,0,0,0,0,0,0,1
TV,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,1
UG,15,15,17,17,20,27,32,32,29,34,35,27,93,39,48,92,84,87,88,214,191,82,83,70
UA,7,7,7,8,12,8,13,23,68,93,145,126,81,98,140,148,111,103,121,156,201,259,197,141
AE,383,397,455,456,542,565,682,853,945,1120,1395,1563,1628,1915,1639,1869,2296,2331,2602,3177,3113,3762,4258,2328
US,10350,11087,12049,12429,12766,12691,13788,14281,15746,16323,18474,20105,19876,20845,21208,21753,23079,25954,27868,30582,33929,36518,41674,37830
UY,0,0,0,0,0,0,0,0,0,6,8,4,102,38,49,203,20,15,24,18,18,27,10,18
UM,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,17,9,36
VI,0,0,0,2,1,1,2,4,2,4,4,0,0,0,0,0,0,0,0,4,3,4,1,0
UZ,4,4,5,7,6,8,8,13,9,13,11,8,8,11,11,5,21,17,9,6,16,5,3,5
VU,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,16,6,16
VA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,2
VE,30,31,34,14,41,8,2,5,5,10,14,52,29,33,42,26,21,39,25,22,17,19,9,8
VN,16,17,19,22,21,24,28,41,34,42,36,79,98,93,89,140,194,171,232,190,177,212,182,109
WF,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17
YE,8,8,8,8,10,11,13,15,17,21,26,40,24,32,4,4,7,7,4,4,18,10,14,1
ZM,20,20,22,24,27,34,43,45,39,45,45,71,98,57,30,23,15,17,57,17,12,59,13,12
ZW,17,17,19,21,24,32,36,40,35,40,40,48,78,67,47,49,89,93,56,57,83,106,61,47
