iso2,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020
NG,157,181,182,191,136,180,180,171,253,322,518,1441,1182,1146,2534,4493,3672,2804,1779,1240,1660,2717,1821,1382
NU,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,0
NF,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0
KP,15,4,0,0,0,0,1,0,0,10,7,6,8,4,3,2,2,0,0,9,13,11,5,15
MK,10,15,18,23,24,22,30,34,32,31,38,40,36,59,65,59,51,48,47,516,254,230,330,234
MP,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,43,0,0,6
NO,5675,4415,4613,6870,6951,6864,7657,9799,13615,16203,15818,22290,16547,20810,27560,25927,22288,19268,14973,15672,21723,22159,18341,12635
PS,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,4,17,19,0,6
OM,102,89,81,83,72,102,103,136,88,107,110,231,163,199,258,231,186,284,240,212,396,300,399,265
PK,661,654,666,687,767,972,996,1048,1042,1085,904,971,1124,1295,1238,1360,1341,1517,1431,1634,1834,1833,1886,1438
PW,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,3,0
PA,11,11,12,13,16,17,14,17,29,27,31,22,46,43,73,95,68,53,85,130,70,86,90,67
PG,75,51,52,50,43,62,66,74,85,67,47,91,206,87,167,115,129,138,123,110,134,107,126,117
PY,7,4,4,4,3,5,4,0,4,0,0,3,1,7,1,8,11,13,14,36,13,32,32,15
PE,181,151,179,192,202,181,152,154,158,221,143,172,230,272,304,306,308,388,342,467,477,597,593,445
PH,787,956,1022,1362,1312,1128,919,765,880,974,891,819,730,845,777,884,650,798,956,977,1002,1199,1018,816
PN,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,6,0,0
QA,77,99,103,102,124,122,174,225,221,450,418,409,997,2518,5148,3330,3051,2378,2651,2323,2879,1759,2782,1793
RU,1706,1572,1523,2050,2467,2446,3098,4417,6029,7049,6698,7989,5668,6492,9073,9649,8665,8017,5675,5306,6302,9030,9355,9183
RW,1,1,2,3,4,4,4,4,4,4,4,8,8,4,1,5,1,1,6,4,16,9,9,14
WS,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,19,20,14
SM,5,10,11,9,5,7,4,5,1,3,8,10,3,4,1,3,0,6,8,0,3,0,0,3
ST,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0
SA,1174,1127,1212,1474,1586,1510,1526,1835,2362,1769,1280,1119,1177,1166,1535,2571,3164,2712,2529,2366,2586,3740,3771,2235
SN,14,16,17,23,20,24,21,24,21,25,33,35,31,22,49,47,36,43,52,60,111,62,57,71
RS,48,51,37,15,47,54,61,68,72,114,118,130,95,117,128,116,139,151,204,245,311,362,359,336
SC,13,31,50,54,68,90,85,90,85,81,75,83,110,110,99,99,86,79,72,70,69,170,146,98
SL,8,7,6,7,9,11,15,13,11,16,15,20,70,38,65,13,11,11,9,11,25,13,9,7
SG,3112,2877,3073,3176,2911,2930,3476,4353,4996,5194,5438,6008,5610,6576,6879,7031,5552,5352,4191,5158,5440,5833,6983,6200
SX,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13,0,12,2,9,8,4
SB,5,9,10,4,0,0,0,0,0,0,3,0,8,2,2,0,4,4,11,0,7,7,10,19
SO,4,5,4,4,4,4,5,5,4,5,5,13,8,0,0,0,0,0,18,24,40,36,26,24
ZA,1869,1924,2212,3253,3611,3500,4058,4380,5130,5164,4054,5458,4562,5171,3795,4205,4207,3724,3933,4108,4466,4910,5787,4582
GS,0,0,0,0,0,0,0,0,0,0,0,0,14,3,1,0,0,0,0,0,0,0,0,0
KR,2528,2753,3196,4023,3412,3340,3295,3644,3516,3938,4029,4595,3885,3153,3462,4857,4620,6510,7728,6095,7804,6095,6367,5341
SS,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20,5,7,4,0
LK,286,330,383,488,470,488,471,548,517,605,621,776,874,863,862,929,924,1146,1346,1457,1029,1018,1019,920
KN,9,5,7,7,9,4,6,1,2,0,0,0,0,0,0,0,0,0,0,4,5,4,4,19
LC,68,75,74,83,62,70,68,94,74,98,95,70,76,61,141,110,138,134,119,133,156,139,135,86
VC,16,21,19,19,14,14,12,14,10,9,5,2,3,2,0,0,34,33,4,4,1,1,0,1
SH,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
SD,25,30,22,26,32,37,42,50,50,47,58,37,67,39,26,19,25,20,19,15,21,41,33,14
SR,23,22,30,35,24,7,4,0,5,3,0,0,3,0,0,0,0,0,0,9,6,6,1,1
CH,5993,6088,6843,6964,5996,5436,4837,4698,5116,5624,6775,7166,7461,9744,9584,9181,11496,10641,11285,13764,11825,12080,13930,10156
SY,46,32,91,70,99,165,75,61,141,291,77,145,107,67,57,14,4,4,4,9,7,4,2,0
TW,2509,2559,2899,3864,3257,2729,2557,2650,2594,2813,2799,2986,2499,3422,3604,3755,3836,3579,3543,3731,3972,4058,4125,4101
TJ,0,0,0,0,0,0,1,4,4,4,16,4,0,0,1,4,0,0,4,0,10,6,4,5
TZ,81,76,70,84,93,120,130,138,123,134,134,102,125,117,100,204,180,168,145,114,135,150,34,90
TH,1542,1675,1729,2102,2111,2115,2138,2451,2367,2719,2745,2950,2954,3110,3125,3088,3285,3377,3192,3852,4043,4066,3976,3045
BS,79,85,90,72,29,39,29,43,80,98,46,69,58,36,153,131,311,321,302,266,152,66,63,15
GM,11,10,10,14,20,19,19,23,19,24,22,34,60,24,49,72,29,35,86,30,79,6,15,7
TG,2,1,1,0,1,4,4,4,4,4,15,4,8,19,14,1,6,7,12,12,2,8,4,6
TK,0,0,0,0,0,0,0,0,0,5,2,0,0,0,0,0,0,0,0,0,0,0,0,0
TO,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
TT,90,65,81,94,93,87,116,124,113,243,178,243,403,349,281,145,200,236,216,157,173,283,134,197
TN,133,164,177,247,245,217,234,295,342,262,333,584,684,937,489,593,671,531,280,171,190,264,377,230
TR,1603,1774,1997,2238,2597,3394,3810,4504,4974,5556,6160,6437,6049,7022,6791,6935,7369,8007,8765,8704,9527,10708,11245,9161
TM,1,0,3,2,1,8,0,5,2,35,5,40,12,20,34,43,159,180,40,22,3,5,1,2
TC,5,4,4,6,5,5,6,9,6,9,9,23,9,21,9,1,0,7,0,0,0,2,0,1
TV,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,1
UG,35,33,28,26,31,39,44,46,42,49,52,46,105,52,60,106,103,99,101,226,203,94,96,82
UA,45,57,59,86,94,146,128,138,166,217,262,278,232,376,494,423,501,506,375,455,615,793,811,697
